ID-Produto;Produto;Categoria;Segmento;Fabricante;Loja;Cidade;Estado;Vendedor;ID-Vendedor;Data Venda;ValorVenda
SKU-0000008;Geladeira Duplex;Eletrodomésticos;Doméstico;Electrolux;A9990;Belo Horizonte;Minas Gerais;Fernando Zambrini;1007;04/07/2012;1229,00
SKU-0000012;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;Josias Silva;1006;04/11/2012;1651,00
SKU-0000016;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Electrolux;A9990;Belo Horizonte;Minas Gerais;Rodrigo Fagundes;1005;02/01/2013;877,00 
SKU-0000043;Notebook Dell 8 GB;Eletrônicos;Corporativo;Dell;A9990;Belo Horizonte;Minas Gerais;Maria Fernandes;1001;01/04/2012;1345,87
SKU-0000060;Desktop HP 16 GB;Eletrônicos;Corporativo;HP;A9990;Belo Horizonte;Minas Gerais;André Pereira;1002;02/09/2013;899,00 
SKU-0000073;Micro-Ondas;Eletrodomésticos;Doméstico;Panasonic;A9990;Belo Horizonte;Minas Gerais;Josias Silva;1006;01/10/2012;1220,00
SKU-0000079;Grill;Eletrodomésticos;Doméstico;Panasonic;A9990;Belo Horizonte;Minas Gerais;Mateus Gonçalves;1003;02/04/2013;123,00 
SKU-0000084;Forno-Micro-Ondas;Eletrodomésticos;Doméstico;Panasonic;A9990;Belo Horizonte;Minas Gerais;Ana Teixeira;1009;02/09/2013;290,00 
SKU-0000095;Ar Condicionado;Eletrodomésticos;Industrial;Samsung;A9990;Belo Horizonte;Minas Gerais;Josias Silva;1006;02/08/2013;1190,00
SKU-0000136;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;André Pereira;1002;09/01/2013;1233,00
SKU-0000137;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;Ana Teixeira;1009;10/01/2013;1233,00
SKU-0000138;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;Josias Silva;1006;11/02/2013;721,00 
SKU-0000141;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;Artur Moreira;1004;14/03/2013;346,00 
SKU-0000142;Sony Experia XA;Celulares;Doméstico;Sony;A9990;Belo Horizonte;Minas Gerais;Rodrigo Fagundes;1005;15/04/2013;699,00 
SKU-0000143;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;Josias Silva;1006;16/04/2013;876,00 
SKU-0000146;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;André Pereira;1002;19/05/2013;1229,00
SKU-0000147;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;Maria Fernandes;1001;20/06/2013;1228,00
