ID-Produto;Produto;Categoria;Segmento;Fabricante;Loja;Cidade;Estado;Vendedor;ID-Vendedor;Data Venda;ValorVenda
SKU-0000040;Notebook Dell 8 GB;Eletrônicos;Corporativo;Dell;R1296;Rio de Janeiro;Rio de Janeiro;Aline Sutter;1008;01/01/2012;1345,87
SKU-0000041;Notebook Dell 8 GB;Eletrônicos;Corporativo;Dell;R1296;Rio de Janeiro;Rio de Janeiro;Ana Teixeira;1009;01/02/2012;1234,12
SKU-0000048;Notebook Dell 8 GB;Eletrônicos;Corporativo;Dell;R1296;Rio de Janeiro;Rio de Janeiro;Josias Silva;1006;01/09/2012;1245,90
SKU-0000058;Desktop HP 16 GB;Eletrônicos;Corporativo;HP;R1296;Rio de Janeiro;Rio de Janeiro;Fernando Zambrini;1007;02/07/2013;1002,00
SKU-0000072;Micro-Ondas;Eletrodomésticos;Doméstico;Panasonic;R1296;Rio de Janeiro;Rio de Janeiro;Josias Silva;1006;01/09/2012;1200,00
SKU-0000081;Micro-Ondas;Eletrodomésticos;Doméstico;Panasonic;R1296;Rio de Janeiro;Rio de Janeiro;Maria Fernandes;1001;02/06/2013;290,00 
SKU-0000093;Ar Condicionado;Eletrodomésticos;Industrial;Samsung;R1296;Rio de Janeiro;Rio de Janeiro;André Pereira;1002;02/06/2013;1278,00
SKU-0000097;Ar Condicionado;Eletrodomésticos;Industrial;Samsung;R1296;Rio de Janeiro;Rio de Janeiro;Mateus Gonçalves;1003;02/10/2013;1290,00
SKU-0000193;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;R1296;Rio de Janeiro;Rio de Janeiro;Fernando Zambrini;1007;01/01/2014;1234,00
SKU-0000194;Aspirador;Eletroportáteis;Doméstico;Britânia;R1296;Rio de Janeiro;Rio de Janeiro;Mateus Gonçalves;1003;01/02/2014;763,00 
SKU-0000201;Fritadeira;Eletroportáteis;Doméstico;Arno;R1296;Rio de Janeiro;Rio de Janeiro;Fernando Zambrini;1007;01/09/2014;129,00 
SKU-0000211;Fritadeira;Eletroportáteis;Doméstico;Arno;R1296;Rio de Janeiro;Rio de Janeiro;Artur Moreira;1004;02/07/2015;121,00 
SKU-0000225;Forno-Micro-Ondas;Eletrodomésticos;Doméstico;Consul;R1296;Rio de Janeiro;Rio de Janeiro;Artur Moreira;1004;01/09/2014;675,90 
SKU-0000234;Micro-Ondas;Eletrodomésticos;Doméstico;Consul;R1296;Rio de Janeiro;Rio de Janeiro;André Pereira;1002;02/06/2015;345,00 
SKU-0000246;Aspirador;Eletroportáteis;Doméstico;Britânia;R1296;Rio de Janeiro;Rio de Janeiro;Maria Fernandes;1001;02/06/2015;121,00 
SKU-0000250;Aspirador;Eletroportáteis;Doméstico;Britânia;R1296;Rio de Janeiro;Rio de Janeiro;Fernando Zambrini;1007;02/10/2015;121,00 
SKU-0000308;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;R1296;Rio de Janeiro;Rio de Janeiro;Ana Teixeira;1009;04/10/2014;1299,00
SKU-0000309;Morotola Moto G5;Celulares;Doméstico;Motorola;R1296;Rio de Janeiro;Rio de Janeiro;André Pereira;1002;04/10/2014;1230,00
SKU-0000310;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;R1296;Rio de Janeiro;Rio de Janeiro;Maria Fernandes;1001;01/01/2014;1299,00
SKU-0000311;Morotola Moto G5;Celulares;Doméstico;Motorola;R1296;Rio de Janeiro;Rio de Janeiro;André Pereira;1002;02/02/2014;1230,00
SKU-0000312;Morotola Moto G5;Celulares;Doméstico;Motorola;R1296;Rio de Janeiro;Rio de Janeiro;André Pereira;1002;03/03/2014;1230,00
SKU-0000313;Morotola Moto G5;Celulares;Doméstico;Motorola;R1296;Rio de Janeiro;Rio de Janeiro;André Pereira;1002;04/04/2014;1230,00
SKU-0000314;Morotola Moto G5;Celulares;Doméstico;Motorola;R1296;Rio de Janeiro;Rio de Janeiro;André Pereira;1002;04/05/2014;1230,00
SKU-0000315;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;R1296;Rio de Janeiro;Rio de Janeiro;Ana Teixeira;1009;04/06/2014;1299,00
SKU-0000316;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;R1296;Rio de Janeiro;Rio de Janeiro;Maria Fernandes;1001;04/07/2014;1299,00
SKU-0000317;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;R1296;Rio de Janeiro;Rio de Janeiro;Mateus Gonçalves;1003;04/08/2014;137,00 
SKU-0000318;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;R1296;Rio de Janeiro;Rio de Janeiro;Artur Moreira;1004;04/09/2014;632,00 
SKU-0000319;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;R1296;Rio de Janeiro;Rio de Janeiro;Rodrigo Fagundes;1005;04/11/2014;761,00 
SKU-0000320;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;R1296;Rio de Janeiro;Rio de Janeiro;Ana Teixeira;1009;04/11/2014;1299,00
