ID-Produto;Produto;Categoria;Segmento;Fabricante;Loja;Cidade;Estado;Vendedor;ID-Vendedor;Data Venda;ValorVenda
SKU-0000001;LG K10 TV Power;Celulares;Corporativo;LG;SP8821;São Paulo;São Paulo;Ana Teixeira;1009;04/10/2012;679,00 
SKU-0000002;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Josias Silva;1006;01/01/2012;832,00 
SKU-0000003;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Josias Silva;1006;02/02/2012;790,00 
SKU-0000004;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Mateus Gonçalves;1003;03/03/2012;765,32 
SKU-0000005;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Electrolux;SP8821;São Paulo;São Paulo;Artur Moreira;1004;04/04/2012;459,89 
SKU-0000006;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Rodrigo Fagundes;1005;04/05/2012;590,98 
SKU-0000007;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Josias Silva;1006;04/06/2012;1000,91
SKU-0000009;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Mateus Gonçalves;1003;04/08/2012;1300,00
SKU-0000010;Geladeira Duplex;Eletrodomésticos;Doméstico;Electrolux;SP8821;São Paulo;São Paulo;André Pereira;1002;04/09/2012;1290,00
SKU-0000011;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Ana Teixeira;1009;04/09/2012;1287,00
SKU-0000013;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Josias Silva;1006;04/11/2012;1100,00
SKU-0000014;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Mateus Gonçalves;1003;04/12/2012;1190,00
SKU-0000015;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Artur Moreira;1004;04/12/2012;1190,98
SKU-0000017;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Josias Silva;1006;02/02/2013;982,00 
SKU-0000018;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Fernando Zambrini;1007;02/03/2013;872,00 
SKU-0000019;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Electrolux;SP8821;São Paulo;São Paulo;Mateus Gonçalves;1003;02/04/2013;799,00 
SKU-0000020;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;André Pereira;1002;02/05/2013;899,00 
SKU-0000021;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Ana Teixeira;1009;02/06/2013;799,00 
SKU-0000022;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Josias Silva;1006;02/07/2013;987,00 
SKU-0000023;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Josias Silva;1006;02/08/2013;699,90 
SKU-0000024;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Electrolux;SP8821;São Paulo;São Paulo;Mateus Gonçalves;1003;02/09/2013;789,23 
SKU-0000025;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Artur Moreira;1004;02/10/2013;789,34 
SKU-0000026;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Rodrigo Fagundes;1005;02/11/2013;764,20 
SKU-0000027;Lavadora 11 Kg;Eletrodomésticos;Doméstico;Electrolux;SP8821;São Paulo;São Paulo;Josias Silva;1006;02/12/2013;1245,90
SKU-0000028;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Fernando Zambrini;1007;02/01/2013;1345,87
SKU-0000029;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Mateus Gonçalves;1003;02/02/2013;1234,12
SKU-0000030;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;André Pereira;1002;02/03/2013;1245,90
SKU-0000031;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Maria Fernandes;1001;02/04/2013;1345,87
SKU-0000032;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8821;São Paulo;São Paulo;Maria Fernandes;1001;02/05/2013;1234,12
SKU-0000033;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;SP8823;São Paulo;São Paulo;Maria Fernandes;1001;02/06/2013;1245,90
