ID Cliente,Nome,Sobrenome,Sexo,Idade,Regiao,Classificacao,Data Cadastro,Saldo
100000001,Simon,Walsh,Masculino,21,São Paulo,Alto,05.Jan.16,113810.16
400000002,Jasmine,Miller,Feminino,34,Vitória,Médio,06.Jan.16,36919.73
100000003,Liam,Brown,Masculino,46,São Paulo,Alto,07.Jan.16,101536.83
300000004,Trevor,Parr,Masculino,32,Belo Horizonte,Alto,08.Jan.16,1421.52
100000005,Deirdre,Pullman,Feminino,38,São Paulo,Médio,09.Jan.16,35639.79
300000006,Ava,Coleman,Feminino,30,Belo Horizonte,Médio,09.Jan.16,122443.77
100000007,Dorothy,Thomson,Feminino,34,São Paulo,Médio,11.Jan.16,42879.84
200000008,Lisa,Knox,Feminino,48,Rio de Janeiro,Baixo,11.Jan.16,36680.17
300000009,Ruth,Campbell,Feminino,33,Belo Horizonte,Alto,11.Jan.16,74284.35
100000010,Dominic,Parr,Masculino,42,São Paulo,Alto,12.Jan.16,10912.45
100000011,Dominic,Lewis,Masculino,40,São Paulo,Alto,12.Jan.16,39667.83
100000012,Benjamin,Grant,Masculino,39,São Paulo,Alto,12.Jan.16,32281.62
100000013,Ryan,MacDonald,Masculino,24,São Paulo,Alto,12.Jan.16,40781.63
200000014,Thomas,Lawrence,Masculino,46,Rio de Janeiro,Baixo,12.Jan.16,48791.46
300000015,Madeleine,Marshall,Feminino,36,Belo Horizonte,Baixo,12.Jan.16,2846.03
100000016,Nicholas,Newman,Masculino,42,São Paulo,Alto,14.Jan.16,2116.85
200000017,Grace,Hill,Feminino,31,Rio de Janeiro,Baixo,14.Jan.16,10356.31
200000018,Samantha,Coleman,Feminino,42,Rio de Janeiro,Baixo,14.Jan.16,3801.69
100000019,William,Ince,Masculino,40,São Paulo,Médio,15.Jan.16,65534.69
100000020,Audrey,Jones,Feminino,46,São Paulo,Médio,15.Jan.16,11462.64
300000021,Boris,Johnston,Masculino,37,Belo Horizonte,Baixo,16.Jan.16,31778.9
200000022,Jason,Butler,Masculino,58,Rio de Janeiro,Médio,18.Jan.16,21252.97
300000023,Deirdre,McDonald,Feminino,41,Belo Horizonte,Alto,18.Jan.16,66785.78
200000024,Carl,Quinn,Masculino,52,Rio de Janeiro,Médio,19.Jan.16,6580.81
100000025,Jennifer,Hughes,Feminino,38,São Paulo,Alto,20.Jan.16,20505.32
200000026,Richard,Fraser,Masculino,55,Rio de Janeiro,Médio,21.Jan.16,43249.26
400000027,Rachel,McGrath,Feminino,37,Vitória,Alto,23.Jan.16,3967.2
100000028,Alison,Fisher,Feminino,33,São Paulo,Alto,25.Jan.16,3428.56
200000029,Lucas,Mackenzie,Masculino,50,Rio de Janeiro,Médio,25.Jan.16,20516.1
100000030,Luke,Wilkins,Masculino,42,São Paulo,Alto,27.Jan.16,10813.83
100000031,Megan,Bell,Feminino,25,São Paulo,Alto,28.Jan.16,38889.76
300000032,Warren,Edmunds,Masculino,30,Belo Horizonte,Alto,28.Jan.16,14094.01
200000033,Grace,Chapman,Feminino,58,Rio de Janeiro,Baixo,29.Jan.16,25865.2
100000034,Jake,Wilson,Masculino,26,São Paulo,Baixo,30.Jan.16,5833.62
100000035,Karen,Dyer,Feminino,34,São Paulo,Médio,31.Jan.16,77809.59
100000036,Yvonne,Thomson,Feminino,36,São Paulo,Alto,31.Jan.16,31680.67
100000037,Sophie,Gill,Feminino,33,São Paulo,Alto,31.Jan.16,20504.37
100000038,Robert,Cornish,Masculino,31,São Paulo,Baixo,31.Jan.16,5688.36
200000039,Luke,Martin,Masculino,35,Rio de Janeiro,Médio,31.Jan.16,12848.59
200000040,Gavin,Pullman,Masculino,59,Rio de Janeiro,Baixo,31.Jan.16,114456.23
100000041,Edward,Terry,Masculino,27,São Paulo,Médio,01.Feb.16,51412.6
100000042,Diane,Black,Feminino,35,São Paulo,Alto,01.Feb.16,9695.7
200000043,Jake,Morgan,Masculino,49,Rio de Janeiro,Médio,01.Feb.16,114021.21
400000044,Yvonne,Churchill,Feminino,22,Vitória,Baixo,01.Feb.16,107728.07
100000045,Dorothy,Johnston,Feminino,53,São Paulo,Baixo,03.Feb.16,2893.19
200000046,Lisa,Berry,Feminino,47,Rio de Janeiro,Baixo,03.Feb.16,54589.61
200000047,Leah,Nolan,Feminino,32,Rio de Janeiro,Baixo,03.Feb.16,59501.63
400000048,Carolyn,Lewis,Feminino,19,Vitória,Baixo,08.Feb.16,14337.82
100000049,Simon,Ball,Masculino,27,São Paulo,Alto,12.Feb.16,23921.89
100000050,Charles,Nolan,Masculino,39,São Paulo,Alto,12.Feb.16,39034.14
100000051,Sophie,Wilkins,Feminino,29,São Paulo,Médio,12.Feb.16,1401.43
100000052,Kimberly,James,Feminino,31,São Paulo,Médio,12.Feb.16,41626.25
100000053,Madeleine,Ellison,Feminino,37,São Paulo,Baixo,12.Feb.16,47551.7
100000054,Irene,MacLeod,Feminino,32,São Paulo,Alto,12.Feb.16,24187.98
100000055,Cameron,Taylor,Masculino,24,São Paulo,Alto,12.Feb.16,4912.21
100000056,Liam,Gibson,Masculino,40,São Paulo,Alto,12.Feb.16,58391.45
100000057,Donna,Knox,Feminino,33,São Paulo,Médio,12.Feb.16,58033.89
100000058,Piers,Morgan,Masculino,44,São Paulo,Alto,12.Feb.16,35831.2
100000059,Phil,Randall,Masculino,39,São Paulo,Baixo,12.Feb.16,1879.85
100000060,Ryan,White,Masculino,47,São Paulo,Alto,12.Feb.16,23375.57
100000061,Kylie,Howard,Feminino,35,São Paulo,Alto,12.Feb.16,4586.23
100000062,Fiona,Bell,Feminino,47,São Paulo,Baixo,12.Feb.16,20336.8
100000063,Kevin,Gibson,Masculino,47,São Paulo,Alto,12.Feb.16,22414.93
100000064,Bernadette,Gibson,Feminino,39,São Paulo,Alto,12.Feb.16,40305.24
200000065,Maria,Hughes,Feminino,50,Rio de Janeiro,Baixo,12.Feb.16,18091.36
200000066,Piers,Burgess,Masculino,43,Rio de Janeiro,Médio,12.Feb.16,20076.8
200000067,Dan,Ellison,Masculino,47,Rio de Janeiro,Médio,12.Feb.16,5300.47
200000068,Lucas,Piper,Masculino,61,Rio de Janeiro,Médio,12.Feb.16,7162.43
200000069,Jason,Sharp,Masculino,53,Rio de Janeiro,Médio,12.Feb.16,35751.37
200000070,Kevin,Parr,Masculino,45,Rio de Janeiro,Baixo,12.Feb.16,15013.76
200000071,Dan,Mills,Masculino,49,Rio de Janeiro,Médio,12.Feb.16,70041.44
200000072,Angela,Roberts,Feminino,51,Rio de Janeiro,Baixo,12.Feb.16,35937.38
300000073,Hannah,White,Feminino,36,Belo Horizonte,Alto,12.Feb.16,41442.1
300000074,Oliver,Simpson,Masculino,45,Belo Horizonte,Baixo,12.Feb.16,36696.92
400000075,Olivia,Dowd,Feminino,30,Vitória,Alto,12.Feb.16,21.03
200000076,Michael,Hemmings,Masculino,44,Rio de Janeiro,Médio,24.Feb.16,58237.65
100000077,Frank,Brown,Masculino,38,São Paulo,Alto,09.Mar.16,28509.46
100000078,Diane,Simpson,Feminino,36,São Paulo,Baixo,10.Mar.16,38715.45
300000079,Ruth,Mathis,Feminino,23,Belo Horizonte,Médio,15.Mar.16,7370.52
100000080,David,Peters,Masculino,34,São Paulo,Alto,16.Mar.16,245.46
100000081,Joan,Buckland,Feminino,36,São Paulo,Alto,16.Mar.16,59935.75
100000082,Neil,Robertson,Masculino,20,São Paulo,Alto,16.Mar.16,11624.36
100000083,Paul,Mackay,Masculino,31,São Paulo,Médio,16.Mar.16,9346.66
100000084,Dylan,Fraser,Masculino,42,São Paulo,Alto,16.Mar.16,43770.37
100000085,Pippa,Buckland,Feminino,38,São Paulo,Alto,16.Mar.16,63642.19
100000086,Matt,McGrath,Masculino,39,São Paulo,Alto,16.Mar.16,22831.08
100000087,Jack,White,Masculino,41,São Paulo,Baixo,16.Mar.16,4846.57
100000088,Jasmine,Piper,Feminino,24,São Paulo,Alto,16.Mar.16,71571.52
100000089,Michelle,Ellison,Feminino,24,São Paulo,Alto,16.Mar.16,42409.89
100000090,Wanda,Henderson,Feminino,35,São Paulo,Alto,16.Mar.16,4194.57
100000091,Blake,Reid,Masculino,35,São Paulo,Alto,16.Mar.16,75613.68
100000092,Jane,Forsyth,Feminino,26,São Paulo,Alto,16.Mar.16,28587.08
100000093,Dan,Peake,Masculino,23,São Paulo,Alto,16.Mar.16,14699.05
100000094,Lisa,Davies,Feminino,38,São Paulo,Baixo,16.Mar.16,44034.26
100000095,Rebecca,Knox,Feminino,30,São Paulo,Alto,16.Mar.16,55046.35
100000096,Joshua,Slater,Masculino,28,São Paulo,Alto,16.Mar.16,67479.01
100000097,Heather,Wallace,Feminino,38,São Paulo,Médio,16.Mar.16,61890.85
100000098,Maria,Johnston,Feminino,36,São Paulo,Alto,16.Mar.16,1430.6
200000099,Robert,May,Masculino,40,Rio de Janeiro,Médio,16.Mar.16,5456.86
200000100,Carolyn,Robertson,Feminino,56,Rio de Janeiro,Baixo,16.Mar.16,13251.27
200000101,Stewart,Lewis,Masculino,51,Rio de Janeiro,Médio,16.Mar.16,119014.87
200000102,Emma,Piper,Feminino,44,Rio de Janeiro,Alto,16.Mar.16,18829.79
200000103,Nicola,Powell,Feminino,55,Rio de Janeiro,Alto,16.Mar.16,35939.04
200000104,Diana,McDonald,Feminino,57,Rio de Janeiro,Baixo,16.Mar.16,22686
200000105,Stephen,Ross,Masculino,48,Rio de Janeiro,Alto,16.Mar.16,85108.08
200000106,Ella,Bond,Feminino,54,Rio de Janeiro,Baixo,16.Mar.16,44973.03
200000107,Ian,Wilson,Masculino,36,Rio de Janeiro,Médio,16.Mar.16,12616.44
200000108,Piers,Quinn,Masculino,48,Rio de Janeiro,Médio,16.Mar.16,23910.87
200000109,Joe,Forsyth,Masculino,63,Rio de Janeiro,Baixo,16.Mar.16,73461.71
200000110,Tim,Jones,Masculino,63,Rio de Janeiro,Médio,16.Mar.16,26474.23
300000111,Sonia,Robertson,Feminino,25,Belo Horizonte,Baixo,16.Mar.16,70799.64
300000112,Nathan,Paterson,Masculino,26,Belo Horizonte,Alto,16.Mar.16,20627.65
400000113,Tim,Hardacre,Masculino,29,Vitória,Alto,16.Mar.16,82229.52
400000114,Fiona,Mills,Feminino,18,Vitória,Baixo,16.Mar.16,51171.29
400000115,Ruth,Oliver,Feminino,43,Vitória,Médio,16.Mar.16,37889.38
100000116,Alison,Johnston,Feminino,36,São Paulo,Baixo,19.Mar.16,21806.3
100000117,Amy,McGrath,Feminino,40,São Paulo,Baixo,25.Mar.16,12415.5
200000118,Adam,McGrath,Masculino,52,Rio de Janeiro,Baixo,28.Mar.16,67682.92
100000119,Vanessa,Lyman,Feminino,18,São Paulo,Alto,31.Mar.16,33524.41
100000120,Andrea,Dickens,Feminino,31,São Paulo,Alto,31.Mar.16,136370.38
100000121,Ian,Slater,Masculino,37,São Paulo,Alto,31.Mar.16,39159.35
100000122,Jacob,Payne,Masculino,25,São Paulo,Baixo,31.Mar.16,3738.1
100000123,Harry,Short,Masculino,50,São Paulo,Alto,31.Mar.16,43234.21
100000124,John,Black,Masculino,39,São Paulo,Baixo,01.Apr.16,111149.47
100000125,Jonathan,MacDonald,Masculino,27,São Paulo,Alto,01.Apr.16,12312.49
100000126,Benjamin,Blake,Masculino,42,São Paulo,Alto,01.Apr.16,55661.5
100000127,Emma,Fraser,Feminino,27,São Paulo,Alto,01.Apr.16,10481.48
100000128,Virginia,Berry,Feminino,41,São Paulo,Alto,01.Apr.16,4347.79
100000129,Peter,Pullman,Masculino,47,São Paulo,Alto,01.Apr.16,15093.04
100000130,Alison,MacLeod,Feminino,27,São Paulo,Alto,01.Apr.16,27738.77
100000131,Anna,Wright,Feminino,41,São Paulo,Alto,01.Apr.16,27557.08
100000132,James,Marshall,Masculino,20,São Paulo,Médio,01.Apr.16,9578.65
